timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1490005224069,94,Account,200,OK,Thread Group 2-70,text,true,,330,156,10,20,94,0,45
1490005224079,95,Account,200,OK,Thread Group 2-71,text,true,,330,158,10,20,95,0,46
1490005224079,95,Discount,200,OK,Thread Group 1-95,text,true,,331,199,10,20,95,0,46
1490005224086,94,Account,200,OK,Thread Group 2-72,text,true,,330,159,10,19,94,0,45
1490005224088,102,Discount,200,OK,Thread Group 1-96,text,true,,330,200,10,21,102,0,44
1490005224103,102,Account,200,OK,Thread Group 2-73,text,true,,330,156,11,22,102,0,50
1490005224105,100,Discount,200,OK,Thread Group 1-97,text,true,,330,197,11,22,100,0,48
1490005224113,105,Discount,200,OK,Thread Group 1-98,text,true,,330,198,11,22,105,0,48
1490005224121,97,Discount,200,OK,Thread Group 1-99,text,true,,331,198,11,22,97,0,46
1490005224113,106,Account,200,OK,Thread Group 2-74,text,true,,330,158,12,21,106,0,48
1490005224117,103,Account,200,OK,Thread Group 2-75,text,true,,330,159,11,20,103,0,49
1490005224131,93,Discount,200,OK,Thread Group 1-100,text,true,,331,199,10,20,93,0,44
1490005224131,94,Account,200,OK,Thread Group 2-76,text,true,,330,156,10,19,93,0,44
1490005224154,97,Account,200,OK,Thread Group 2-78,text,true,,330,159,12,23,97,0,48
1490005224153,99,Account,200,OK,Thread Group 2-77,text,true,,330,158,11,23,98,0,49
1490005224154,99,Discount,200,OK,Thread Group 1-101,text,true,,331,199,12,22,99,0,48
1490005224154,100,Discount,200,OK,Thread Group 1-102,text,true,,331,198,11,21,99,0,48
1490005224161,97,Account,200,OK,Thread Group 2-79,text,true,,330,156,10,20,97,0,48
1490005224168,103,Account,200,OK,Thread Group 2-80,text,true,,330,158,11,22,102,0,51
1490005224171,100,Discount,200,OK,Thread Group 1-104,text,true,,330,200,11,22,100,0,47
1490005224161,114,Discount,200,OK,Thread Group 1-103,text,true,,331,199,11,21,114,0,57
1490005224178,102,Account,200,OK,Thread Group 2-81,text,true,,330,159,11,21,100,0,51
1490005224191,95,Discount,200,OK,Thread Group 1-105,text,true,,330,197,11,21,95,0,44
1490005224192,94,Discount,200,OK,Thread Group 1-106,text,true,,330,198,11,21,94,0,46
1490005224192,95,Account,200,OK,Thread Group 2-82,text,true,,330,156,10,20,95,0,44
1490005224199,93,Account,200,OK,Thread Group 2-83,text,true,,330,158,10,19,93,0,45
1490005224202,93,Discount,200,OK,Thread Group 1-107,text,true,,331,198,10,20,93,0,45
1490005224209,92,Account,200,OK,Thread Group 2-84,text,true,,330,159,10,19,92,0,45
1490005224212,91,Discount,200,OK,Thread Group 1-108,text,true,,331,199,9,18,91,0,44
